Alan Hansen (cmsd0ypd4007z68du6wjxpcpn) — heurística de edad (71 años, sin equipo actual)
Alen Bokšić (cmsd1ba9o0077t4ducplon7qr) — heurística de edad (56 años, sin equipo actual)
Alessandro (cmsd4pjw0002ricduwhm3gwh6) — heurística de edad (47 años, sin equipo actual)
Alessandro Del Piero (cms4adass00d2dodu13rf5o32) — heurística de edad (51 años, sin equipo actual)
Alfredo Di Stéfano (cms4akauh00yhdodum2ofgm2n) — heurística de edad (100 años, sin equipo actual)
Andreas Brehme (cms4acswm00bododuzs8yrvof) — heurística de edad (65 años, sin equipo actual)
Angelo Di Livio (cmsd1b0wi0069t4dumn2p5ehp) — heurística de edad (60 años, sin equipo actual)
Antonio de la Torre (cmsd4rovc0050icdun4v718r2) — heurística de edad (74 años, sin equipo actual)
Bernard Genghini (cmsd1ixlz00156odu0urz442r) — heurística de edad (68 años, sin equipo actual)
Bernard Lama (cmsd1jwhs001x6odu8y5b9564) — heurística de edad (63 años, sin equipo actual)
Bobby Charlton (cms4ah6kn00ordodufy5txzd7) — heurística de edad (88 años, sin equipo actual)
Bobby Moore (cms4ah94m00p2doduc0hsqmod) — heurística de edad (85 años, sin equipo actual)
Cafu (cms4a9mwj002ddoduznnqpiz2) — heurística de edad (56 años, sin equipo actual)
Careca (cmsd1981m0020t4dub5thejtq) — heurística de edad (65 años, sin equipo actual)
Carles Puyol (cms4ag1b200m9dodunwfamgc6) — heurística de edad (48 años, sin equipo actual)
Carlos Alberto Torres (cms4b0q23002i0wdufwufx1bk) — heurística de edad (82 años, sin equipo actual)
Carlos Valderrama (cms4amnfx016hdodusjgqn5ji) — heurística de edad (64 años, sin equipo actual)
César Rodríguez (cmsedxssr0000gcduehi9v60a) — heurística de edad (106 años, sin equipo actual)
Chris Waddle (cmsd0yczv006468dufaqxn6kl) — heurística de edad (65 años, sin equipo actual)
Christian Vieri (cms4adtn100eidodup72ehaex) — heurística de edad (53 años, sin equipo actual)
