Total de equipos en la BD: 2404

Stints  País                  Nombre
------  --------------------  --------------------------------
   128  Desconocido           Juventus
   126  Desconocido           Real Madrid CF
   125  Desconocido           FC Barcelona
   123  Desconocido           Chelsea FC
   120  Desconocido           FC Internazionale Milano
   113  Desconocido           Milan
   108  Desconocido           Manchester United
   100  Desconocido           Bayern Munich
    90  Desconocido           Club Atlético de Madrid
    89  Desconocido           Arsenal
    86  Desconocido           Atalanta BC
    85  Desconocido           Manchester City FC
    85  Desconocido           Paris Saint-Germain
    83  Desconocido           Marseille
    82  Desconocido           Fiorentina
    82  Desconocido           Roma
    79  Desconocido           Tottenham Hotspur
    76  Desconocido           Monaco
    73  Desconocido           SL Benfica
    70  Desconocido           Villarreal
    70  Desconocido           Liverpool FC
    69  Desconocido           Borussia Dortmund
    69  Desconocido           VfB Stuttgart
    67  Desconocido           Ajax
    65  Desconocido           Lyon
    65  Desconocido           Genoa
    65  Desconocido           Aston Villa FC
    65  Desconocido           Napoli
    62  Desconocido           Newcastle United FC
    62  Desconocido           Sevilla FC
    62  Desconocido           Bayer Leverkusen
    60  Desconocido           Hellas Verona
    60  Desconocido           Valencia
    59  Desconocido           Barcelona B
    59  Desconocido           Stade Rennais FC
    58  Desconocido           Parma
    57  Desconocido           Southampton
    56  Desconocido           Udinese Calcio
    55  Desconocido           Everton
    55  Desconocido           Real Betis
    55  Desconocido           Lazio
    54  Desconocido           West Ham United
    54  Desconocido           Vfl Wolfsburg
    54  Desconocido           Lille
    53  Desconocido           RB Leipzig
    52  Desconocido           Empoli
    51  Desconocido           Real Sociedad
    51  Desconocido           Fulham
    50  Desconocido           RC Strasbourg
    50  Desconocido           Wolverhampton Wanderers FC
    50  Desconocido           Getafe CF
    48  Desconocido           Bologna
    48  Desconocido           Eintracht Frankfurt
    48  Desconocido           Venezia
    48  Desconocido           Brighton & Hove Albion
    48  Desconocido           Lens
    48  Desconocido           Crystal Palace
    47  Desconocido           Leicester City
    47  Desconocido           Torino
    47  Desconocido           Nice
    47  Desconocido           Nottingham Forest FC
    47  Desconocido           Cagliari
    45  Desconocido           RCD Mallorca
    44  Desconocido           Real Madrid B
    44  Desconocido           RCD Espanyol de Barcelona
    44  Desconocido           Girona
    44  Portugal              Sporting CP
    43  Desconocido           TSG Hoffenheim
    43  Desconocido           Ipswich Town
    42  Desconocido           Sampdoria
    42  Desconocido           Como
    42  Desconocido           Borussia Mönchengladbach
    41  Desconocido           Brentford FC
    41  Desconocido           Lecce
    41  Desconocido           Celta de Vigo
    40  Desconocido           Bournemouth
    39  Desconocido           Stade Brestois 29
    39  Desconocido           Saint-Étienne
    39  Desconocido           Mainz 05
    39  Desconocido           Monza
    38  Desconocido           Union Berlin
    37  Desconocido           Nantes
    36  Desconocido           Red Bull Salzburg
    36  Desconocido           Auxerre
    35  Desconocido           Leeds United
    35  Desconocido           Werder Bremen
    35  Desconocido           Metz
    35  Desconocido           Bayern Munich II
    34  Desconocido           Rayo Vallecano
    34  Desconocido           Toulouse
    33  Desconocido           Deportivo Alavés
    33  Desconocido           SC Freiburg
    33  Desconocido           Schalke 04
    32  Desconocido           FC Augsburg
    32  Desconocido           Angers
    32  Desconocido           Athletic Club
    32  Desconocido           Valladolid
    32  Desconocido           Feyenoord
    31  Desconocido           River Plate
    31  Desconocido           Galatasaray
    30  Desconocido           Hamburger SV
    29  Desconocido           Jong Ajax
    29  Desconocido           Watford
    29  Desconocido           Flamengo
    29  Desconocido           Porto
    29  Desconocido           VfL Bochum
    29  Desconocido           Celtic
    28  Desconocido           Le Havre
    28  Desconocido           Montpellier
    28  Desconocido           Club Brugge
    28  Desconocido           Reims
    28  Desconocido           PSV
    27  Desconocido           Anderlecht
    27  Desconocido           São Paulo
    27  Desconocido           Fenerbahçe
    27  Desconocido           West Bromwich Albion
    27  Desconocido           FC St. Pauli
    26  Desconocido           CA Osasuna
    26  Desconocido           Borussia Dortmund II
    26  Desconocido           Salernitana
    26  Desconocido           Burnley
    26  Desconocido           Blackburn Rovers
    25  Desconocido           Basel
    25  Desconocido           1. FC Heidenheim
    24  Desconocido           Hull City
    23  Desconocido           Benfica B
    23  Desconocido           Corinthians
    23  Desconocido           Lyon B
    23  Desconocido           Brescia
    22  Desconocido           Las Palmas
    22  Desconocido           Levante
    22  Desconocido           Sunderland
    22  Desconocido           Vasco da Gama
    22  Desconocido           FC Liefering
    22  Desconocido           SV Elversberg
    21  Desconocido           Dinamo Zagreb
    21  Desconocido           Bordeaux
    21  Desconocido           Bilbao Athletic
    21  Desconocido           Granada
    21  Desconocido           VfB Stuttgart II
    21  Desconocido           Pescara
    21  Desconocido           Holstein Kiel
    20  Desconocido           Real Sociedad B
    20  Desconocido           Boca Juniors
    20  Desconocido           Leganés
    20  Desconocido           Santos
    20  Desconocido           Hertha BSC
    20  Desconocido           Coventry City
    19  Desconocido           Genk
    19  Desconocido           Villarreal B
    19  Desconocido           Perugia
    19  Desconocido           Olympiacos
    19  Desconocido           Middlesbrough
    19  Desconocido           Sheffield United
    19  Desconocido           1. FC Köln
    19  Desconocido           Frosinone
    19  Desconocido           US Cremonese
    19  Desconocido           SC Freiburg II
    19  Desconocido           Sassuolo
    18  Desconocido           Copenhagen
    18  Desconocido           Basconia
    18  Desconocido           Spezia
    18  Desconocido           Stoke City
    18  Desconocido           Elche
    18  Desconocido           Norwich City
    18  Desconocido           Preston North End
    18  Desconocido           Nordsjælland
    18  Desconocido           TSG Hoffenheim II
    18  Desconocido           1. FC Kaiserslautern
    17  Desconocido           Zaragoza
    17  Desconocido           Mirandés
    17  Desconocido           Málaga
    17  Desconocido           Bolton Wanderers
    17  Desconocido           Atlético Mineiro
    17  Desconocido           SPAL
    17  Desconocido           Karlsruher SC
    16  Desconocido           Braga
    16  Desconocido           Huesca
    16  Desconocido           Real Madrid C
    16  Desconocido           Jong PSV
    16  Desconocido           Groningen
    16  Desconocido           Gent
    16  Desconocido           Barnsley
    16  Desconocido           Lorient
    15  Desconocido           Almería
    15  Desconocido           Valencia B
    15  Desconocido           Heerenveen
    15  Desconocido           Juventus Next Gen
    15  Desconocido           Sochaux
    15  Desconocido           Beşiktaş
    15  Desconocido           Modena
    15  Desconocido           Rangers
    14  Desconocido           Botafogo
